month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2022/02/01 05:00:00+00,Weekday,19,Orange Line,1805723,95038,2285
2021/11/01 04:00:00+00,Total,30,Blue Line,1023665,34122,2286
2022/01/01 05:00:00+00,Total,31,Private Bus,37642,1214,2287
2022/03/01 05:00:00+00,Weekday,23,Orange Line,2375081,103264,2288
2022/02/01 05:00:00+00,Weekday,19,Red Line,2055200,108168,2289
2021/11/01 04:00:00+00,Total,30,Orange Line,2695651,89855,2290
2022/01/01 05:00:00+00,Total,31,All Bus,5180334,167108,2291
2022/03/01 05:00:00+00,Weekday,23,Red Line,2838860,123429,2292
2022/02/01 05:00:00+00,Weekday,19,Heavy Rail,4539232,238907,2293
2021/11/01 04:00:00+00,Total,30,Red Line,3063867,102129,2294
2022/01/01 05:00:00+00,Total,31,Commuter Rail,848770,27380,2295
2022/03/01 05:00:00+00,Weekday,23,Heavy Rail,6127687,266421,2296
2022/02/01 05:00:00+00,Weekday,19,Green Line,1788066,94109,2297
2022/02/01 05:00:00+00,Weekday,19,Light Rail,1788066,94109,2298
2022/02/01 05:00:00+00,Weekday,19,Silver Line,397402,20916,2299
2022/02/01 05:00:00+00,Weekday,19,Bus,4030462,212130,2300
2022/02/01 05:00:00+00,Weekday,19,Trackless Trolley,89529,4712,2301
2022/02/01 05:00:00+00,Weekday,19,Private Bus,32789,1726,2302
2022/02/01 05:00:00+00,Weekday,19,All Bus,4550182,239483,2303
2022/02/01 05:00:00+00,Weekday,19,Commuter Rail,846107,44532,2304
2022/02/01 05:00:00+00,Weekday,19,Ferry,23784,1252,2305
2022/02/01 05:00:00+00,Weekday,19,The RIDE,56920,2996,2306
2022/02/01 05:00:00+00,Saturday,4,Blue Line,106455,26614,2307
2021/11/01 04:00:00+00,Total,30,Heavy Rail,6783184,226106,2308
2022/01/01 05:00:00+00,Total,31,Ferry,17247,556,2309
2022/03/01 05:00:00+00,Weekday,23,Green Line,2319955,100868,2310
2021/11/01 04:00:00+00,Total,30,Green Line,2698728,89958,2311
2022/01/01 05:00:00+00,Total,31,The RIDE,62548,2018,2312
2022/03/01 05:00:00+00,Weekday,23,Light Rail,2319955,100868,2313
2021/11/01 04:00:00+00,Total,30,Light Rail,2698728,89958,2314
2021/12/01 05:00:00+00,Weekday,23,Blue Line,786707,34205,2315
2022/03/01 05:00:00+00,Weekday,23,Silver Line,549718,23901,2316
2021/11/01 04:00:00+00,Total,30,Silver Line,611697,20390,2317
2021/12/01 05:00:00+00,Weekday,23,Orange Line,2023699,87987,2318
2022/03/01 05:00:00+00,Weekday,23,Bus,5424495,235848,2319
2021/11/01 04:00:00+00,Total,30,Bus,5761440,192048,2320
2021/12/01 05:00:00+00,Weekday,23,Red Line,2231045,97002,2321
2022/03/01 05:00:00+00,Weekday,23,Trackless Trolley,45997,2000,2322
2021/11/01 04:00:00+00,Total,30,Trackless Trolley,116249,3875,2323
2021/12/01 05:00:00+00,Weekday,23,Heavy Rail,5041450,219193,2324
2022/03/01 05:00:00+00,Weekday,23,Private Bus,40308,1753,2325
2021/11/01 04:00:00+00,Total,30,Private Bus,42462,1415,2326
2021/12/01 05:00:00+00,Weekday,23,Green Line,1916108,83309,2327
2022/03/01 05:00:00+00,Weekday,23,All Bus,6060518,263501,2328
2021/11/01 04:00:00+00,Total,30,All Bus,6531848,217728,2329
2021/12/01 05:00:00+00,Weekday,23,Light Rail,1916108,83309,2330
2022/03/01 05:00:00+00,Weekday,23,Commuter Rail,1330024,57827,2331
2021/11/01 04:00:00+00,Total,30,Commuter Rail,1316818,43894,2332
2021/12/01 05:00:00+00,Weekday,23,Silver Line,456036,19828,2333
2022/03/01 05:00:00+00,Weekday,23,Ferry,45309,1970,2334
2021/11/01 04:00:00+00,Total,30,Ferry,40721,1357,2335
2021/12/01 05:00:00+00,Weekday,23,Bus,4395765,191120,2336
2022/03/01 05:00:00+00,Weekday,23,The RIDE,76406,3322,2337
2021/11/01 04:00:00+00,Total,30,The RIDE,74533,2484,2338
2021/12/01 05:00:00+00,Weekday,23,Trackless Trolley,102095,4439,2339
2022/03/01 05:00:00+00,Saturday,4,Blue Line,109287,27322,2340
2021/10/01 04:00:00+00,Weekday,21,Blue Line,876422,41734,2341
2021/12/01 05:00:00+00,Weekday,23,Private Bus,39250,1707,2342
2022/03/01 05:00:00+00,Saturday,4,Orange Line,222668,55667,2343
2021/10/01 04:00:00+00,Weekday,21,Orange Line,2246083,106956,2344
2021/12/01 05:00:00+00,Weekday,23,All Bus,4993146,217093,2345
2022/03/01 05:00:00+00,Saturday,4,Red Line,279173,69793,2346
2021/10/01 04:00:00+00,Weekday,21,Red Line,2676646,127459,2347
2022/03/01 05:00:00+00,Saturday,4,Heavy Rail,611128,152782,2348
2021/10/01 04:00:00+00,Weekday,21,Heavy Rail,5799151,276150,2349
2021/10/01 04:00:00+00,Weekday,21,Green Line,2284689,108795,2350
2021/09/01 04:00:00+00,Weekday,21,Green Line,2283557,108741,2351
2021/09/01 04:00:00+00,Weekday,21,Light Rail,2283557,108741,2352
2021/09/01 04:00:00+00,Weekday,21,Silver Line,487975,23237,2353
2021/09/01 04:00:00+00,Weekday,21,Bus,4906341,233635,2354
2021/09/01 04:00:00+00,Weekday,21,Trackless Trolley,107969,5141,2355
2021/09/01 04:00:00+00,Weekday,21,Private Bus,36125,1720,2356
2021/09/01 04:00:00+00,Weekday,21,All Bus,5538410,263734,2357
2021/09/01 04:00:00+00,Weekday,21,Commuter Rail,978777,46608,2358
2021/09/01 04:00:00+00,Weekday,21,Ferry,41106,1957,2359
2021/09/01 04:00:00+00,Weekday,21,The RIDE,61257,2917,2360
2021/09/01 04:00:00+00,Saturday,4,Blue Line,134292,33573,2361
2021/09/01 04:00:00+00,Saturday,4,Orange Line,301183,75296,2362
2021/09/01 04:00:00+00,Saturday,4,Red Line,354442,88610,2363
2021/09/01 04:00:00+00,Saturday,4,Heavy Rail,789917,197479,2364
2021/09/01 04:00:00+00,Saturday,4,Green Line,365239,91310,2365
2021/09/01 04:00:00+00,Saturday,4,Light Rail,365239,91310,2366
2021/09/01 04:00:00+00,Saturday,4,Silver Line,66938,16734,2367
2021/09/01 04:00:00+00,Saturday,4,Bus,549174,137294,2368
2021/09/01 04:00:00+00,Saturday,4,Trackless Trolley,11494,2874,2369
2021/09/01 04:00:00+00,Saturday,4,Private Bus,4074,1018,2370
2021/09/01 04:00:00+00,Saturday,4,All Bus,631680,157920,2371
2021/09/01 04:00:00+00,Saturday,4,Commuter Rail,86120,21530,2372
2021/09/01 04:00:00+00,Sunday,4,Blue Line,101652,25413,2373
2021/09/01 04:00:00+00,Sunday,4,Orange Line,217487,54372,2374
2021/09/01 04:00:00+00,Sunday,4,Red Line,260502,65126,2375
2021/09/01 04:00:00+00,Sunday,4,Heavy Rail,579641,144910,2376
2021/09/01 04:00:00+00,Sunday,4,Green Line,274783,68696,2377
2021/09/01 04:00:00+00,Sunday,4,Light Rail,274783,68696,2378
2021/09/01 04:00:00+00,Sunday,4,Silver Line,66938,16734,2379
2021/09/01 04:00:00+00,Sunday,4,Bus,352179,88045,2380
2021/09/01 04:00:00+00,Sunday,4,Private Bus,2993,748,2381
2021/09/01 04:00:00+00,Sunday,4,All Bus,422110,105528,2382
2021/09/01 04:00:00+00,Sunday,4,Commuter Rail,70885,17721,2383
2021/09/01 04:00:00+00,Total,30,Blue Line,1122408,37414,2384
2021/09/01 04:00:00+00,Total,30,Orange Line,2737988,91266,2385
2021/09/01 04:00:00+00,Total,30,Red Line,3403839,113461,2386
2021/09/01 04:00:00+00,Total,30,Heavy Rail,7264235,242141,2387
2021/09/01 04:00:00+00,Total,30,Green Line,3000467,100016,2388
2021/09/01 04:00:00+00,Total,30,Light Rail,3000467,100016,2389
2021/09/01 04:00:00+00,Total,30,Silver Line,628547,20952,2390
2021/09/01 04:00:00+00,Total,30,Bus,5907005,196900,2391
2021/09/01 04:00:00+00,Total,30,Trackless Trolley,119462,3982,2392
2021/09/01 04:00:00+00,Total,30,Private Bus,43192,1440,2393
2021/09/01 04:00:00+00,Total,30,All Bus,6698206,223274,2394
2021/09/01 04:00:00+00,Total,30,Commuter Rail,1135782,37859,2395
2021/09/01 04:00:00+00,Total,30,Ferry,51686,1723,2396
2021/09/01 04:00:00+00,Total,30,The RIDE,75787,2526,2397
2021/08/01 04:00:00+00,Weekday,22,Blue Line,791034,35956,2398
2021/08/01 04:00:00+00,Weekday,22,Orange Line,1872653,85121,2399
2021/08/01 04:00:00+00,Weekday,22,Red Line,2253065,102412,2400
2021/03/01 05:00:00+00,Total,31,Commuter Rail,348892,11255,2401
2021/07/01 04:00:00+00,Weekday,22,Red Line,2073657,94257,2402
2021/03/01 05:00:00+00,Total,31,Ferry,6920,223,2403
2021/03/01 05:00:00+00,Total,31,The RIDE,63048,2034,2404
2021/07/01 04:00:00+00,Weekday,22,Heavy Rail,4526772,205762,2405
2021/02/01 05:00:00+00,Weekday,19,Blue Line,419302,22069,2406
2021/07/01 04:00:00+00,Weekday,22,Green Line,1677128,76233,2407
2021/02/01 05:00:00+00,Weekday,19,Orange Line,949242,49960,2408
2021/07/01 04:00:00+00,Weekday,22,Light Rail,1677128,76233,2409
2021/02/01 05:00:00+00,Weekday,19,Red Line,1054916,55522,2410
2021/07/01 04:00:00+00,Weekday,22,Silver Line,437004,19864,2411
2021/02/01 05:00:00+00,Weekday,19,Heavy Rail,2423459,127550,2412
2021/07/01 04:00:00+00,Weekday,22,Bus,3926407,178473,2413
2021/02/01 05:00:00+00,Weekday,19,Green Line,814216,42853,2414
2021/07/01 04:00:00+00,Weekday,22,Trackless Trolley,88261,4012,2415
2021/02/01 05:00:00+00,Weekday,19,Light Rail,814216,42853,2416
2021/02/01 05:00:00+00,Total,28,All Bus,3782071,135074,2417
2021/07/01 04:00:00+00,Weekday,22,Private Bus,32201,1464,2418
2021/02/01 05:00:00+00,Weekday,19,Silver Line,246434,12970,2419
2021/02/01 05:00:00+00,Total,28,Commuter Rail,257158,9184,2420
2021/07/01 04:00:00+00,Weekday,22,All Bus,4483873,203812,2421
2021/02/01 05:00:00+00,Weekday,19,Bus,2647925,139364,2422
2021/02/01 05:00:00+00,Total,28,Ferry,4074,146,2423
2021/07/01 04:00:00+00,Weekday,22,Commuter Rail,649985,29545,2424
2021/02/01 05:00:00+00,Weekday,19,Trackless Trolley,61061,3214,2425
2021/02/01 05:00:00+00,Total,28,The RIDE,48317,1726,2426
2021/07/01 04:00:00+00,Weekday,22,Ferry,53003,2409,2427
2021/02/01 05:00:00+00,Weekday,19,Private Bus,25186,1326,2428
2021/01/01 05:00:00+00,Weekday,19,Blue Line,400315,21069,2429
2021/07/01 04:00:00+00,Weekday,22,The RIDE,56089,2550,2430
2021/02/01 05:00:00+00,Weekday,19,All Bus,2980606,156874,2431
2021/01/01 05:00:00+00,Weekday,19,Orange Line,900334,47386,2432
2021/07/01 04:00:00+00,Saturday,5,Blue Line,142504,28501,2433
2021/02/01 05:00:00+00,Weekday,19,Commuter Rail,231936,12207,2434
2021/01/01 05:00:00+00,Weekday,19,Red Line,1003252,52803,2435
2021/07/01 04:00:00+00,Saturday,5,Orange Line,302948,60590,2436
2021/02/01 05:00:00+00,Weekday,19,Ferry,4074,214,2437
2021/01/01 05:00:00+00,Weekday,19,Heavy Rail,2303901,121258,2438
2021/07/01 04:00:00+00,Saturday,5,Red Line,359713,71943,2439
2021/02/01 05:00:00+00,Weekday,19,The RIDE,39954,2103,2440
2021/01/01 05:00:00+00,Weekday,19,Green Line,733702,38616,2441
2021/07/01 04:00:00+00,Saturday,5,Heavy Rail,805165,161033,2442
2021/02/01 05:00:00+00,Saturday,4,Blue Line,66535,16634,2443
2021/01/01 05:00:00+00,Weekday,19,Light Rail,733702,38616,2444
2021/07/01 04:00:00+00,Saturday,5,Green Line,321872,64374,2445
2021/02/01 05:00:00+00,Saturday,4,Orange Line,134034,33508,2446
2021/01/01 05:00:00+00,Weekday,19,Silver Line,240789,12673,2447
2021/07/01 04:00:00+00,Saturday,5,Light Rail,321872,64374,2448
2021/02/01 05:00:00+00,Saturday,4,Red Line,154538,38634,2449
2021/01/01 05:00:00+00,Weekday,19,Bus,2576787,135620,2450
2021/07/01 04:00:00+00,Saturday,5,Silver Line,74876,14975,2451
2021/02/01 05:00:00+00,Saturday,4,Heavy Rail,355106,88776,2452
2021/01/01 05:00:00+00,Weekday,19,Trackless Trolley,61686,3247,2453
2021/07/01 04:00:00+00,Saturday,5,Bus,589277,117855,2454
2021/02/01 05:00:00+00,Saturday,4,Green Line,141725,35431,2455
2021/01/01 05:00:00+00,Weekday,19,Private Bus,24252,1276,2456
2021/07/01 04:00:00+00,Saturday,5,Trackless Trolley,11540,2308,2457
2021/02/01 05:00:00+00,Saturday,4,Light Rail,141725,35431,2458
2021/01/01 05:00:00+00,Weekday,19,All Bus,2903514,152817,2459
2021/07/01 04:00:00+00,Saturday,5,Private Bus,4541,908,2460
2021/02/01 05:00:00+00,Saturday,4,Silver Line,49120,12280,2461
2021/01/01 05:00:00+00,Weekday,19,Commuter Rail,222252,11697,2462
2021/07/01 04:00:00+00,Saturday,5,All Bus,680234,136047,2463
2021/02/01 05:00:00+00,Saturday,4,Bus,461284,115321,2464
2021/01/01 05:00:00+00,Weekday,19,Ferry,6264,330,2465
2021/07/01 04:00:00+00,Saturday,5,Commuter Rail,71084,14217,2466
2021/02/01 05:00:00+00,Saturday,4,Trackless Trolley,10055,2514,2467
2021/01/01 05:00:00+00,Weekday,19,The RIDE,39419,2075,2468
2021/07/01 04:00:00+00,Sunday,4,Blue Line,82791,20698,2469
2021/02/01 05:00:00+00,Saturday,4,Private Bus,2967,742,2470
2021/01/01 05:00:00+00,Saturday,5,Blue Line,72317,14463,2471
2021/07/01 04:00:00+00,Sunday,4,Orange Line,167575,41894,2472
2021/02/01 05:00:00+00,Saturday,4,All Bus,523426,130856,2473
2021/01/01 05:00:00+00,Saturday,5,Orange Line,146515,29303,2474
2021/07/01 04:00:00+00,Sunday,4,Red Line,206762,51690,2475
2021/02/01 05:00:00+00,Saturday,4,Commuter Rail,14834,3708,2476
2021/01/01 05:00:00+00,Saturday,5,Red Line,161996,32399,2477
2021/07/01 04:00:00+00,Sunday,4,Heavy Rail,457128,114282,2478
2021/02/01 05:00:00+00,Sunday,4,Blue Line,50740,12685,2479
2021/01/01 05:00:00+00,Saturday,5,Heavy Rail,380828,76166,2480
2021/07/01 04:00:00+00,Sunday,4,Green Line,179820,44955,2481
2021/02/01 05:00:00+00,Sunday,4,Orange Line,97783,24446,2482
2021/01/01 05:00:00+00,Saturday,5,Green Line,136006,27201,2483
2021/05/01 04:00:00+00,Total,31,The RIDE,64259,2073,2484
2021/06/01 04:00:00+00,Weekday,22,Orange Line,1612670,73303,2485
2021/07/01 04:00:00+00,Sunday,4,Light Rail,179820,44955,2486
2021/07/01 04:00:00+00,Sunday,4,Silver Line,64429,16107,2487
2021/07/01 04:00:00+00,Sunday,4,Bus,389854,97464,2488
2021/07/01 04:00:00+00,Sunday,4,Private Bus,2756,689,2489
2021/07/01 04:00:00+00,Sunday,4,All Bus,457039,114260,2490
2021/07/01 04:00:00+00,Sunday,4,Commuter Rail,50463,12616,2491
2021/07/01 04:00:00+00,Total,31,Blue Line,987719,31862,2492
2021/07/01 04:00:00+00,Total,31,Orange Line,2233289,72042,2493
2021/07/01 04:00:00+00,Total,31,Red Line,2692995,86871,2494
2021/07/01 04:00:00+00,Total,31,Heavy Rail,5914003,190774,2495
2021/07/01 04:00:00+00,Total,31,Green Line,2228599,71890,2496
2021/07/01 04:00:00+00,Total,31,Light Rail,2228599,71890,2497
2021/07/01 04:00:00+00,Total,31,Silver Line,576309,18591,2498
2021/07/01 04:00:00+00,Total,31,Bus,4905539,158243,2499
2021/07/01 04:00:00+00,Total,31,Trackless Trolley,99801,3219,2500
2021/07/01 04:00:00+00,Total,31,Private Bus,39498,1274,2501
2021/07/01 04:00:00+00,Total,31,All Bus,5621146,181327,2502
2021/07/01 04:00:00+00,Total,31,Commuter Rail,771532,24888,2503
2021/07/01 04:00:00+00,Total,31,Ferry,68016,2194,2504
2021/07/01 04:00:00+00,Total,31,The RIDE,67121,2165,2505
2021/06/01 04:00:00+00,Weekday,22,Blue Line,722199,32827,2506
2021/04/01 04:00:00+00,Total,30,Ferry,8679,289,2507
2021/08/01 04:00:00+00,Weekday,22,Heavy Rail,4916752,223489,2508
2021/05/01 04:00:00+00,Weekday,20,Blue Line,590264,29513,2509
2021/02/01 05:00:00+00,Sunday,4,Red Line,117367,29342,2510
2021/04/01 04:00:00+00,Weekday,22,Blue Line,584176,26553,2511
2021/06/01 04:00:00+00,Weekday,22,Red Line,1946359,88471,2512
2021/01/01 05:00:00+00,Saturday,5,Light Rail,136006,27201,2513
2021/08/01 04:00:00+00,Weekday,22,Green Line,1812627,82392,2514
2021/04/01 04:00:00+00,Total,30,The RIDE,62512,2084,2515
2021/05/01 04:00:00+00,Weekday,20,Orange Line,1318475,65924,2516
2021/02/01 05:00:00+00,Sunday,4,Heavy Rail,265890,66472,2517
2021/04/01 04:00:00+00,Weekday,22,Orange Line,1251310,56878,2518
2021/06/01 04:00:00+00,Weekday,22,Heavy Rail,4281229,194601,2519
2021/01/01 05:00:00+00,Saturday,5,Silver Line,54544,10909,2520
2021/08/01 04:00:00+00,Weekday,22,Light Rail,1812627,82392,2521
2021/03/01 05:00:00+00,Weekday,23,Blue Line,559731,24336,2522
2021/05/01 04:00:00+00,Weekday,20,Red Line,1558519,77926,2523
2021/02/01 05:00:00+00,Sunday,4,Green Line,105291,26323,2524
2021/04/01 04:00:00+00,Weekday,22,Red Line,1482972,67408,2525
2021/06/01 04:00:00+00,Weekday,22,Green Line,1352831,61492,2526
2021/01/01 05:00:00+00,Saturday,5,Bus,511959,102392,2527
2021/08/01 04:00:00+00,Weekday,22,Silver Line,468132,21279,2528
2021/03/01 05:00:00+00,Weekday,23,Orange Line,1203963,52346,2529
2021/05/01 04:00:00+00,Weekday,20,Heavy Rail,3467259,173363,2530
2021/02/01 05:00:00+00,Sunday,4,Light Rail,105291,26323,2531
2021/04/01 04:00:00+00,Weekday,22,Heavy Rail,3318458,150839,2532
2021/06/01 04:00:00+00,Weekday,22,Light Rail,1352831,61492,2533
2021/01/01 05:00:00+00,Saturday,5,Trackless Trolley,11062,2212,2534
2021/08/01 04:00:00+00,Weekday,22,Bus,4239478,192704,2535
2021/03/01 05:00:00+00,Weekday,23,Red Line,1401101,60917,2536
2021/05/01 04:00:00+00,Weekday,20,Green Line,1084391,54220,2537
2021/02/01 05:00:00+00,Sunday,4,Silver Line,33402,8350,2538
2021/04/01 04:00:00+00,Weekday,22,Green Line,1118899,50859,2539
2021/06/01 04:00:00+00,Weekday,22,Silver Line,418916,19042,2540
2021/01/01 05:00:00+00,Saturday,5,Private Bus,3551,710,2541
2021/08/01 04:00:00+00,Weekday,22,Trackless Trolley,89027,4047,2542
2021/03/01 05:00:00+00,Weekday,23,Heavy Rail,3164795,137600,2543
2021/05/01 04:00:00+00,Weekday,20,Light Rail,1084391,54220,2544
2021/02/01 05:00:00+00,Sunday,4,Bus,242861,60715,2545
2021/04/01 04:00:00+00,Weekday,22,Light Rail,1118899,50859,2546
2021/06/01 04:00:00+00,Weekday,22,Bus,4039965,183635,2547
2021/01/01 05:00:00+00,Saturday,5,All Bus,581116,116223,2548
2021/08/01 04:00:00+00,Weekday,22,Private Bus,34530,1570,2549
2021/03/01 05:00:00+00,Weekday,23,Green Line,1078637,46897,2550
2021/05/01 04:00:00+00,Weekday,20,Silver Line,348164,17408,2551
2021/02/01 05:00:00+00,Sunday,4,Private Bus,1776,444,2552
2021/04/01 04:00:00+00,Weekday,22,Silver Line,324681,14758,2553
2021/06/01 04:00:00+00,Weekday,22,Trackless Trolley,89179,4054,2554
2021/01/01 05:00:00+00,Saturday,5,Commuter Rail,17660,3532,2555
2021/08/01 04:00:00+00,Weekday,22,All Bus,4831167,219598,2556
2021/03/01 05:00:00+00,Weekday,23,Light Rail,1078637,46897,2557
2021/05/01 04:00:00+00,Weekday,20,Bus,3555724,177786,2558
2021/02/01 05:00:00+00,Sunday,4,All Bus,278039,69510,2559
2021/04/01 04:00:00+00,Weekday,22,Bus,3393364,154244,2560
2021/06/01 04:00:00+00,Weekday,22,Private Bus,32503,1477,2561
2021/01/01 05:00:00+00,Sunday,5,Blue Line,56841,11368,2562
2021/08/01 04:00:00+00,Weekday,22,Commuter Rail,736562,33480,2563
2021/03/01 05:00:00+00,Weekday,23,Silver Line,328741,14293,2564
2021/05/01 04:00:00+00,Weekday,20,Trackless Trolley,79439,3972,2565
2021/02/01 05:00:00+00,Sunday,4,Commuter Rail,10388,2597,2566
2021/04/01 04:00:00+00,Weekday,22,Trackless Trolley,75312,3423,2567
2021/06/01 04:00:00+00,Weekday,22,All Bus,4580563,208207,2568
2021/01/01 05:00:00+00,Sunday,5,Orange Line,114366,22873,2569
2021/08/01 04:00:00+00,Weekday,22,Ferry,50021,2274,2570
2021/03/01 05:00:00+00,Weekday,23,Bus,3508582,152547,2571
2021/05/01 04:00:00+00,Weekday,20,Private Bus,28705,1435,2572
2021/02/01 05:00:00+00,Total,28,Blue Line,552548,19734,2573
2021/04/01 04:00:00+00,Weekday,22,Private Bus,27908,1269,2574
2021/06/01 04:00:00+00,Weekday,22,Commuter Rail,615247,27966,2575
2021/01/01 05:00:00+00,Sunday,5,Red Line,130233,26047,2576
2021/08/01 04:00:00+00,Weekday,22,The RIDE,56713,2578,2577
2021/03/01 05:00:00+00,Weekday,23,Trackless Trolley,74522,3240,2578
2021/05/01 04:00:00+00,Weekday,20,All Bus,4012032,200602,2579
2021/02/01 05:00:00+00,Total,28,Orange Line,1214637,43380,2580
2021/04/01 04:00:00+00,Weekday,22,All Bus,3821265,173694,2581
2021/01/01 05:00:00+00,Sunday,5,Heavy Rail,301440,60288,2582
2021/06/01 04:00:00+00,Weekday,22,Ferry,39089,1777,2583
2021/01/01 05:00:00+00,Sunday,5,Green Line,106104,21221,2584
2021/08/01 04:00:00+00,Saturday,4,Blue Line,125821,31455,2585
2021/04/01 04:00:00+00,Weekday,22,Commuter Rail,368443,16747,2586
2021/02/01 05:00:00+00,Total,28,Red Line,1361622,48629,2587
2021/03/01 05:00:00+00,Weekday,23,Private Bus,29325,1275,2588
2021/01/01 05:00:00+00,Sunday,5,Light Rail,106104,21221,2589
2021/06/01 04:00:00+00,Weekday,22,The RIDE,58594,2663,2590
2021/04/01 04:00:00+00,Weekday,22,Ferry,8679,394,2591
2021/08/01 04:00:00+00,Saturday,4,Orange Line,260290,65072,2592
2021/05/01 04:00:00+00,Weekday,20,Commuter Rail,475908,23795,2593
2021/01/01 05:00:00+00,Sunday,5,Silver Line,47491,9498,2594
2021/08/01 04:00:00+00,Saturday,4,Red Line,307025,76756,2595
2021/04/01 04:00:00+00,Weekday,22,The RIDE,53632,2438,2596
2021/02/01 05:00:00+00,Total,28,Heavy Rail,3128807,111743,2597
2021/03/01 05:00:00+00,Weekday,23,All Bus,3941170,171355,2598
2021/05/01 04:00:00+00,Weekday,20,Ferry,13076,654,2599
2021/06/01 04:00:00+00,Saturday,4,Blue Line,109860,27465,2600
2021/01/01 05:00:00+00,Sunday,5,Bus,340060,68012,2601
2021/08/01 04:00:00+00,Saturday,4,Heavy Rail,693137,173284,2602
2021/04/01 04:00:00+00,Saturday,4,Blue Line,88248,22062,2603
2021/02/01 05:00:00+00,Total,28,Green Line,1092775,39028,2604
2021/03/01 05:00:00+00,Weekday,23,Commuter Rail,311316,13535,2605
2021/05/01 04:00:00+00,Weekday,20,The RIDE,52431,2622,2606
2021/06/01 04:00:00+00,Saturday,4,Orange Line,222160,55540,2607
2021/01/01 05:00:00+00,Sunday,5,Private Bus,2075,415,2608
2021/08/01 04:00:00+00,Saturday,4,Green Line,267202,66800,2609
2021/04/01 04:00:00+00,Saturday,4,Orange Line,168109,42027,2610
2021/02/01 05:00:00+00,Total,28,Light Rail,1092775,39028,2611
2021/03/01 05:00:00+00,Weekday,23,Ferry,6920,301,2612
2021/05/01 04:00:00+00,Saturday,5,Blue Line,117620,23524,2613
2021/06/01 04:00:00+00,Saturday,4,Red Line,273570,68392,2614
2021/01/01 05:00:00+00,Sunday,5,All Bus,389626,77925,2615
2021/08/01 04:00:00+00,Saturday,4,Light Rail,267202,66800,2616
2021/04/01 04:00:00+00,Saturday,4,Red Line,209724,52431,2617
2021/02/01 05:00:00+00,Total,28,Silver Line,328957,11748,2618
2021/03/01 05:00:00+00,Weekday,23,The RIDE,54953,2389,2619
2021/05/01 04:00:00+00,Saturday,5,Orange Line,241891,48378,2620
2021/06/01 04:00:00+00,Saturday,4,Heavy Rail,605591,151398,2621
2021/01/01 05:00:00+00,Sunday,5,Commuter Rail,16034,3207,2622
2021/08/01 04:00:00+00,Saturday,4,Silver Line,62860,15715,2623
2021/04/01 04:00:00+00,Saturday,4,Heavy Rail,466081,116520,2624
2021/02/01 05:00:00+00,Total,28,Bus,3352069,119717,2625
2021/03/01 05:00:00+00,Saturday,4,Blue Line,76939,19235,2626
2021/05/01 04:00:00+00,Saturday,5,Red Line,279367,55873,2627
2021/06/01 04:00:00+00,Saturday,4,Green Line,214832,53708,2628
2021/01/01 05:00:00+00,Total,31,Blue Line,576132,18585,2629
2021/08/01 04:00:00+00,Saturday,4,Bus,515243,128811,2630
2021/04/01 04:00:00+00,Saturday,4,Green Line,175019,43755,2631
2021/02/01 05:00:00+00,Total,28,Trackless Trolley,71116,2540,2632
2021/03/01 05:00:00+00,Saturday,4,Orange Line,148001,37000,2633
2021/05/01 04:00:00+00,Saturday,5,Heavy Rail,638878,127776,2634
2021/06/01 04:00:00+00,Saturday,4,Light Rail,214832,53708,2635
2021/01/01 05:00:00+00,Total,31,Orange Line,1255781,40509,2636
2021/08/01 04:00:00+00,Saturday,4,Trackless Trolley,11146,2786,2637
2021/04/01 04:00:00+00,Saturday,4,Light Rail,175019,43755,2638
2021/02/01 05:00:00+00,Total,28,Private Bus,29929,1069,2639
2021/03/01 05:00:00+00,Saturday,4,Red Line,180830,45208,2640
2021/05/01 04:00:00+00,Saturday,5,Green Line,229817,45963,2641
2021/06/01 04:00:00+00,Saturday,4,Silver Line,58376,14594,2642
2021/01/01 05:00:00+00,Total,31,Red Line,1392431,44917,2643
2021/08/01 04:00:00+00,Saturday,4,Private Bus,3907,977,2644
2021/04/01 04:00:00+00,Saturday,4,Silver Line,48486,12122,2645
2021/03/01 05:00:00+00,Saturday,4,Heavy Rail,405769,101442,2646
2021/05/01 04:00:00+00,Saturday,5,Light Rail,229817,45963,2647
2021/06/01 04:00:00+00,Saturday,4,Bus,489040,122260,2648
2021/01/01 05:00:00+00,Total,31,Heavy Rail,3224344,104011,2649
2021/08/01 04:00:00+00,Saturday,4,All Bus,593157,148289,2650
2021/04/01 04:00:00+00,Saturday,4,Bus,444130,111032,2651
2021/03/01 05:00:00+00,Saturday,4,Green Line,150865,37716,2652
2021/05/01 04:00:00+00,Saturday,5,Silver Line,62864,12573,2653
2021/06/01 04:00:00+00,Saturday,4,Trackless Trolley,9189,2297,2654
2021/01/01 05:00:00+00,Total,31,Green Line,1056887,34093,2655
2021/08/01 04:00:00+00,Saturday,4,Commuter Rail,63511,15878,2656
2021/04/01 04:00:00+00,Saturday,4,Trackless Trolley,8523,2131,2657
2021/03/01 05:00:00+00,Saturday,4,Light Rail,150865,37716,2658
2021/05/01 04:00:00+00,Saturday,5,Bus,545009,109002,2659
2021/06/01 04:00:00+00,Saturday,4,Private Bus,3799,950,2660
2021/01/01 05:00:00+00,Total,31,Light Rail,1056887,34093,2661
2021/08/01 04:00:00+00,Sunday,5,Blue Line,109827,21965,2662
