month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2025/01/01 05:00:00+00,Sunday,4,Commuter Rail,105658,26414,297
2025/01/01 05:00:00+00,Sunday,4,Ferry,706,176,298
2025/01/01 05:00:00+00,Sunday,4,The RIDE,6900,1725,299
2025/01/01 05:00:00+00,Total,31,Blue Line,1180083,38067,300
2025/05/01 04:00:00+00,Total,31,All Bus,8089261,260944,301
2025/05/01 04:00:00+00,Total,31,Commuter Rail,2523747,81411,302
2025/05/01 04:00:00+00,Total,31,Ferry,119743,3863,303
2025/05/01 04:00:00+00,Total,31,The RIDE,108022,3485,304
2025/04/01 04:00:00+00,Weekday,21,Blue Line,997652,47507,305
2025/04/01 04:00:00+00,Weekday,21,Orange Line,2695741,128369,306
2025/04/01 04:00:00+00,Weekday,21,Red Line,2850500,135738,307
2025/04/01 04:00:00+00,Weekday,21,Heavy Rail,6543893,311614,308
2025/04/01 04:00:00+00,Weekday,21,Green Line,2228971,106141,309
2025/04/01 04:00:00+00,Weekday,21,Mattapan Line,70,3,310
2025/04/01 04:00:00+00,Weekday,21,Light Rail,2229041,106145,311
2025/04/01 04:00:00+00,Weekday,21,Silver Line,646333,30778,312
2025/04/01 04:00:00+00,Weekday,21,Bus,5915106,281672,313
2025/04/01 04:00:00+00,Weekday,21,All Bus,6561439,312449,314
2025/04/01 04:00:00+00,Weekday,21,Commuter Rail,2159152,102817,315
2025/04/01 04:00:00+00,Weekday,21,Ferry,100735,4797,316
2025/04/01 04:00:00+00,Weekday,22,The RIDE,90816,4128,317
2025/04/01 04:00:00+00,Saturday,5,Blue Line,186218,37244,318
2025/04/01 04:00:00+00,Saturday,5,Orange Line,467287,93457,319
2025/04/01 04:00:00+00,Saturday,5,Red Line,510519,102104,320
2025/04/01 04:00:00+00,Saturday,5,Heavy Rail,1164025,232805,321
2025/04/01 04:00:00+00,Saturday,5,Green Line,527556,105511,322
2025/04/01 04:00:00+00,Saturday,5,Mattapan Line,6,1,323
2025/04/01 04:00:00+00,Saturday,5,Light Rail,527562,105512,324
2025/04/01 04:00:00+00,Saturday,5,Silver Line,106148,21230,325
2025/04/01 04:00:00+00,Saturday,5,Bus,801301,160260,326
2025/04/01 04:00:00+00,Saturday,5,All Bus,907449,181490,327
2025/04/01 04:00:00+00,Saturday,4,Commuter Rail,142285,35571,328
2025/04/01 04:00:00+00,Saturday,4,Ferry,2766,692,329
2025/04/01 04:00:00+00,Saturday,4,The RIDE,8352,2088,330
2025/04/01 04:00:00+00,Sunday,4,Blue Line,108878,27220,331
2025/04/01 04:00:00+00,Sunday,4,Orange Line,256485,64121,332
2025/04/01 04:00:00+00,Sunday,4,Red Line,280676,70169,333
2025/04/01 04:00:00+00,Sunday,4,Heavy Rail,646039,161510,334
2025/04/01 04:00:00+00,Sunday,4,Green Line,301927,75482,335
2025/04/01 04:00:00+00,Sunday,4,Mattapan Line,1,0,336
2025/04/01 04:00:00+00,Sunday,4,Light Rail,301928,75482,337
2025/04/01 04:00:00+00,Sunday,4,Silver Line,69789,17447,338
2025/04/01 04:00:00+00,Sunday,4,Bus,435702,108926,339
2025/04/01 04:00:00+00,Sunday,4,All Bus,505491,126373,340
2025/04/01 04:00:00+00,Sunday,4,Commuter Rail,127647,31912,341
2025/04/01 04:00:00+00,Sunday,4,Ferry,1932,483,342
2025/04/01 04:00:00+00,Sunday,4,The RIDE,8148,2037,343
2025/04/01 04:00:00+00,Total,30,Blue Line,1292748,43092,344
2025/04/01 04:00:00+00,Total,30,Orange Line,3419513,113984,345
2025/04/01 04:00:00+00,Total,30,Red Line,3641695,121390,346
2025/04/01 04:00:00+00,Total,30,Heavy Rail,8353956,278465,347
2025/04/01 04:00:00+00,Total,30,Green Line,3058453,101948,348
2025/04/01 04:00:00+00,Total,30,Mattapan Line,77,3,349
2025/04/01 04:00:00+00,Total,30,Light Rail,3058530,101951,350
2024/12/01 05:00:00+00,Sunday,5,The RIDE,9275,1855,351
2024/12/01 05:00:00+00,Total,31,Blue Line,1171243,37782,352
2024/12/01 05:00:00+00,Total,31,Orange Line,2790184,90006,353
2024/12/01 05:00:00+00,Total,31,Red Line,2989665,96441,354
